date,quezhen,wuzhengzhuang,all
2022-02-24,0,1,1
2022-02-25,0,1,1
2022-02-26,0,1,1
2022-02-27,0,1,1
2022-02-28,0,3,3
2022-03-01,1,1,2
2022-03-02,3,5,8
2022-03-03,2,14,16
2022-03-04,3,16,19
2022-03-05,0,28,28
2022-03-06,3,45,48
2022-03-07,4,51,55
2022-03-08,3,62,65
2022-03-09,4,76,80
2022-03-10,11,64,75
2022-03-11,5,78,83
2022-03-12,1,64,65
2022-03-13,41,128,169
2022-03-14,9,130,139
2022-03-15,5,197,202
2022-03-16,8,150,158
2022-03-17,57,203,260
2022-03-18,8,366,374
2022-03-19,17,492,509
2022-03-20,24,734,758
2022-03-21,31,865,896
2022-03-22,4,977,981
2022-03-23,4,979,983
2022-03-24,29,1580,1609
2022-03-25,38,2231,2269
2022-03-26,45,2631,2676
2022-03-27,50,3450,3500
2022-03-28,96,4381,4477
2022-03-29,326,5656,5982
2022-03-30,355,5298,5653
2022-03-31,358,4144,4502
2022-04-01,260,6051,6311
2022-04-02,438,7788,8226
2022-04-03,425,8581,9006
2022-04-04,268,13086,13354
2022-04-05,311,16766,17077
2022-04-06,322,19660,19982
2022-04-07,824,20398,21222
2022-04-08,1015,22609,23624
2022-04-09,1006,23937,24943
2022-04-10,914,25173,26087
2022-04-11,994,22348,23342
2022-04-12,1189,25141,26330
2022-04-13,2573,25146,27719
2022-04-14,3200,19872,23072
2022-04-15,3590,19923,23513
2022-04-16,3238,21582,24820
2022-04-17,2417,19831,22248
2022-04-18,3084,17332,20416
2022-04-19,2494,16407,18901
2022-04-20,2634,15861,18495
2022-04-21,1931,15698,17629
2022-04-22,2736,20634,23370
2022-04-23,1401,19657,21058
2022-04-24,2472,16983,19455
2022-04-25,1661,15319,16980
2022-04-26,1606,11956,13562
2022-04-27,1292,9330,10622
2022-04-28,5487,9545,15032
2022-04-29,1249,8932,10181
2022-04-30,788,7084,7872
2022-05-01,727,6606,7333
2022-05-02,274,5395,5669
2022-05-03,260,4722,4982
2022-05-04,261,4390,4651
2022-05-05,245,4024,4269
2022-05-06,253,3961,4214
2022-05-07,215,3760,3975
2022-05-08,322,3625,3947
2022-05-09,234,2780,3014
2022-05-10,228,1259,1487
2022-05-11,144,1305,1449
2022-05-12,227,1869,2096
2022-05-13,194,1487,1681
2022-05-14,166,1203,1369
2022-05-15,69,869,938
2022-05-16,77,746,823
2022-05-17,96,759,855
2022-05-18,82,637,719
2022-05-19,88,770,858
2022-05-20,84,784,868
2022-05-21,52,570,622
2022-05-22,55,503,558
2022-05-23,58,422,480
2022-05-24,44,343,387
2022-05-25,48,290,338
2022-05-26,45,219,264
2022-05-27,39,131,170
2022-05-28,29,93,122
2022-05-29,6,61,67
2022-05-30,9,22,31
2022-05-31,5,10,15
2022-06-01,5,8,13
2022-06-02,8,8,16
2022-06-03,5,9,14
2022-06-04,6,16,22
2022-06-05,4,4,8
2022-06-06,3,7,10
2022-06-07,4,11,15
2022-06-08,4,5,9
2022-06-09,6,5,11
